timestep,electricity_kW,heat_kW
142,50.0,100.0
143,50.0,100.0
144,40.0,120.0
145,40.0,120.0
146,40.0,120.0
147,40.0,120.0
148,40.0,120.0
149,40.0,120.0
150,50.0,100.0
151,52.5,100.0
152,55.0,100.0
153,57.5,100.0
154,60.0,100.0
155,50.0,90.0
156,50.0,90.0
157,50.0,90.0
158,50.0,90.0
159,50.0,90.0
160,50.0,90.0
161,50.0,90.0
162,60.0,100.0
163,60.0,100.0
164,60.0,100.0
165,60.0,100.0
166,50.0,100.0
167,50.0,100.0
168,40.0,120.0
169,40.0,120.0
170,40.0,120.0
171,40.0,120.0
172,40.0,120.0
173,40.0,120.0
174,50.0,100.0
175,52.5,100.0
176,55.0,100.0
177,57.5,100.0
178,60.0,100.0
179,50.0,90.0
180,50.0,90.0
181,50.0,90.0
182,50.0,90.0
183,50.0,90.0
184,50.0,90.0
185,50.0,90.0
186,60.0,100.0
187,60.0,100.0
188,60.0,100.0
189,60.0,100.0
190,50.0,100.0
191,50.0,100.0
192,40.0,120.0
193,40.0,120.0
194,40.0,120.0
195,40.0,120.0
196,40.0,120.0
197,40.0,120.0
198,50.0,100.0
199,52.5,100.0
200,55.0,100.0
201,57.5,100.0
202,60.0,100.0
203,50.0,90.0
204,50.0,90.0
205,50.0,90.0
206,50.0,90.0
207,50.0,90.0
208,50.0,90.0
209,50.0,90.0
210,60.0,100.0
211,60.0,100.0
212,60.0,100.0
213,60.0,100.0
214,50.0,100.0
215,50.0,100.0
216,40.0,120.0
217,40.0,120.0
218,40.0,120.0
219,40.0,120.0
220,40.0,120.0
221,40.0,120.0
222,50.0,100.0
223,52.5,100.0
224,55.0,100.0
225,57.5,100.0
226,60.0,100.0
227,50.0,90.0
228,50.0,90.0
229,50.0,90.0
230,50.0,90.0
231,50.0,90.0
232,50.0,90.0
233,50.0,90.0
234,60.0,100.0
235,60.0,100.0
236,60.0,100.0
237,60.0,100.0
238,50.0,100.0
239,50.0,100.0
240,40.0,120.0
241,40.0,120.0
242,40.0,120.0
243,40.0,120.0
244,40.0,120.0
245,40.0,120.0
246,50.0,100.0
247,52.5,100.0
248,55.0,100.0
249,57.5,100.0
250,60.0,100.0
251,50.0,90.0
252,50.0,90.0
253,50.0,90.0
254,50.0,90.0
255,50.0,90.0
256,50.0,90.0
257,50.0,90.0
258,60.0,100.0
259,60.0,100.0
260,60.0,100.0
261,60.0,100.0
262,50.0,100.0
263,50.0,100.0
264,40.0,120.0
265,40.0,120.0
266,40.0,120.0
267,40.0,120.0
268,40.0,120.0
269,40.0,120.0
270,50.0,100.0
271,52.5,100.0
272,55.0,100.0
273,57.5,100.0
274,60.0,100.0
275,50.0,90.0
276,50.0,90.0
277,50.0,90.0
278,50.0,90.0
279,50.0,90.0
280,50.0,90.0
281,50.0,90.0
282,60.0,100.0
283,60.0,100.0
284,60.0,100.0
285,60.0,100.0
286,50.0,100.0
287,50.0,100.0
288,40.0,120.0
289,40.0,120.0
290,40.0,120.0
291,40.0,120.0
292,40.0,120.0
293,40.0,120.0
294,50.0,100.0
295,52.5,100.0
296,55.0,100.0
297,57.5,100.0
298,60.0,100.0
299,50.0,90.0
300,50.0,90.0
301,50.0,90.0
302,50.0,90.0
303,50.0,90.0
304,50.0,90.0
305,50.0,90.0
306,60.0,100.0
307,60.0,100.0
308,60.0,100.0
309,60.0,100.0
310,50.0,100.0
311,50.0,100.0
312,40.0,120.0
313,40.0,120.0
314,40.0,120.0
315,40.0,120.0
316,40.0,120.0
317,40.0,120.0
318,50.0,100.0
319,52.5,100.0
320,55.0,100.0
321,57.5,100.0
322,60.0,100.0
323,50.0,90.0
324,50.0,90.0
325,50.0,90.0
326,50.0,90.0
327,50.0,90.0
328,50.0,90.0
329,50.0,90.0
330,60.0,100.0
331,60.0,100.0
332,60.0,100.0
333,60.0,100.0
334,50.0,100.0
335,50.0,100.0
336,40.0,120.0
337,40.0,120.0
338,40.0,120.0
339,40.0,120.0
340,40.0,120.0
341,40.0,120.0
342,50.0,100.0
343,52.5,100.0
344,55.0,100.0
345,57.5,100.0
346,60.0,100.0
347,50.0,90.0
348,50.0,90.0
349,50.0,90.0
350,50.0,90.0
351,50.0,90.0
352,50.0,90.0
353,50.0,90.0
354,60.0,100.0
355,60.0,100.0
356,60.0,100.0
357,60.0,100.0
358,50.0,100.0
359,50.0,100.0
360,40.0,120.0
361,40.0,120.0
362,40.0,120.0
363,40.0,120.0
364,40.0,120.0
365,40.0,120.0
366,50.0,100.0
367,52.5,100.0
368,55.0,100.0
369,57.5,100.0
370,60.0,100.0
371,50.0,90.0
372,50.0,90.0
373,50.0,90.0
374,50.0,90.0
375,50.0,90.0
376,50.0,90.0
377,50.0,90.0
378,60.0,100.0
379,60.0,100.0
380,60.0,100.0
381,60.0,100.0
382,50.0,100.0
383,50.0,100.0
384,40.0,120.0
385,40.0,120.0
386,40.0,120.0
387,40.0,120.0
388,40.0,120.0
389,40.0,120.0
390,50.0,100.0
391,52.5,100.0
392,55.0,100.0
393,57.5,100.0
394,60.0,100.0
395,50.0,90.0
396,50.0,90.0
397,50.0,90.0
398,50.0,90.0
399,50.0,90.0
400,50.0,90.0
401,50.0,90.0
402,60.0,100.0
403,60.0,100.0
404,60.0,100.0
405,60.0,100.0
406,50.0,100.0
407,50.0,100.0
408,40.0,120.0
409,40.0,120.0
410,40.0,120.0
411,40.0,120.0
412,40.0,120.0
413,40.0,120.0
414,50.0,100.0
415,52.5,100.0
416,55.0,100.0
417,57.5,100.0
418,60.0,100.0
419,50.0,90.0
420,50.0,90.0
421,50.0,90.0
422,50.0,90.0
423,50.0,90.0
424,50.0,90.0
425,50.0,90.0
426,60.0,100.0
427,60.0,100.0
428,60.0,100.0
429,60.0,100.0
430,50.0,100.0
431,50.0,100.0
432,40.0,120.0
433,40.0,120.0
434,40.0,120.0
435,40.0,120.0
436,40.0,120.0
437,40.0,120.0
438,50.0,100.0
439,52.5,100.0
440,55.0,100.0
441,57.5,100.0
442,60.0,100.0
443,50.0,90.0
444,50.0,90.0
445,50.0,90.0
446,50.0,90.0
447,50.0,90.0
448,50.0,90.0
449,50.0,90.0
450,60.0,100.0
451,60.0,100.0
452,60.0,100.0
453,60.0,100.0
454,50.0,100.0
455,50.0,100.0
456,40.0,120.0
457,40.0,120.0
458,40.0,120.0
459,40.0,120.0
460,40.0,120.0
461,40.0,120.0
462,50.0,100.0
463,52.5,100.0
464,55.0,100.0
465,57.5,100.0
466,60.0,100.0
467,50.0,90.0
468,50.0,90.0
469,50.0,90.0
470,50.0,90.0
471,50.0,90.0
472,50.0,90.0
473,50.0,90.0
474,60.0,100.0
475,60.0,100.0
476,60.0,100.0
477,60.0,100.0
478,50.0,100.0
479,50.0,100.0
480,40.0,120.0
481,40.0,120.0
482,40.0,120.0
483,40.0,120.0
484,40.0,120.0
485,40.0,120.0
486,50.0,100.0
487,52.5,100.0
488,55.0,100.0
489,57.5,100.0
490,60.0,100.0
491,50.0,90.0
492,50.0,90.0
493,50.0,90.0
494,50.0,90.0
495,50.0,90.0
496,50.0,90.0
497,50.0,90.0
498,60.0,100.0
499,60.0,100.0
500,60.0,100.0
501,60.0,100.0
502,50.0,100.0
503,50.0,100.0
504,40.0,120.0
505,40.0,120.0
506,40.0,120.0
507,40.0,120.0
508,40.0,120.0
509,40.0,120.0
510,50.0,100.0
511,52.5,100.0
512,55.0,100.0
513,57.5,100.0
514,60.0,100.0
515,50.0,90.0
516,50.0,90.0
517,50.0,90.0
518,50.0,90.0
519,50.0,90.0
520,50.0,90.0
521,50.0,90.0
522,60.0,100.0
523,60.0,100.0
524,60.0,100.0
525,60.0,100.0
526,50.0,100.0
527,50.0,100.0
528,40.0,120.0
529,40.0,120.0
530,40.0,120.0
531,40.0,120.0
532,40.0,120.0
533,40.0,120.0
534,50.0,100.0
535,52.5,100.0
536,55.0,100.0
537,57.5,100.0
538,60.0,100.0
539,50.0,90.0
540,50.0,90.0
541,50.0,90.0
542,50.0,90.0
543,50.0,90.0
544,50.0,90.0
545,50.0,90.0
546,60.0,100.0
547,60.0,100.0
548,60.0,100.0
549,60.0,100.0
550,50.0,100.0
551,50.0,100.0
552,40.0,120.0
553,40.0,120.0
554,40.0,120.0
555,40.0,120.0
556,40.0,120.0
557,40.0,120.0
558,50.0,100.0
559,52.5,100.0
560,55.0,100.0
561,57.5,100.0
562,60.0,100.0
563,50.0,90.0
564,50.0,90.0
565,50.0,90.0
566,50.0,90.0
567,50.0,90.0
568,50.0,90.0
569,50.0,90.0
570,60.0,100.0
571,60.0,100.0
572,60.0,100.0
573,60.0,100.0
574,50.0,100.0
575,50.0,100.0
576,40.0,120.0
577,40.0,120.0
578,40.0,120.0
579,40.0,120.0
580,40.0,120.0
581,40.0,120.0
582,50.0,100.0
583,52.5,100.0
584,55.0,100.0
585,57.5,100.0
586,60.0,100.0
587,50.0,90.0
588,50.0,90.0
589,50.0,90.0
590,50.0,90.0
591,50.0,90.0
592,50.0,90.0
593,50.0,90.0
594,60.0,100.0
595,60.0,100.0
596,60.0,100.0
597,60.0,100.0
598,50.0,100.0
599,50.0,100.0
600,40.0,120.0
601,40.0,120.0
602,40.0,120.0
603,40.0,120.0
604,40.0,120.0
605,40.0,120.0
606,50.0,100.0
607,52.5,100.0
608,55.0,100.0
609,57.5,100.0
610,60.0,100.0
611,50.0,90.0
612,50.0,90.0
613,50.0,90.0
614,50.0,90.0
615,50.0,90.0
616,50.0,90.0
617,50.0,90.0
618,60.0,100.0
619,60.0,100.0
620,60.0,100.0
621,60.0,100.0
622,50.0,100.0
623,50.0,100.0
624,40.0,120.0
625,40.0,120.0
626,40.0,120.0
627,40.0,120.0
628,40.0,120.0
629,40.0,120.0
630,50.0,100.0
631,52.5,100.0
632,55.0,100.0
633,57.5,100.0
634,60.0,100.0
635,50.0,90.0
636,50.0,90.0
637,50.0,90.0
638,50.0,90.0
639,50.0,90.0
640,50.0,90.0
641,50.0,90.0
642,60.0,100.0
643,60.0,100.0
644,60.0,100.0
645,60.0,100.0
646,50.0,100.0
647,50.0,100.0
648,40.0,120.0
649,40.0,120.0
650,40.0,120.0
651,40.0,120.0
652,40.0,120.0
653,40.0,120.0
654,50.0,100.0
655,52.5,100.0
656,55.0,100.0
657,57.5,100.0
658,60.0,100.0
659,50.0,90.0
660,50.0,90.0
661,50.0,90.0
662,50.0,90.0
663,50.0,90.0
664,50.0,90.0
665,50.0,90.0
666,60.0,100.0
667,60.0,100.0
668,60.0,100.0
669,60.0,100.0
670,50.0,100.0
671,50.0,100.0
672,40.0,120.0
673,40.0,120.0
674,40.0,120.0
675,40.0,120.0
676,40.0,120.0
677,40.0,120.0
678,50.0,100.0
679,52.5,100.0
680,55.0,100.0
681,57.5,100.0
682,60.0,100.0
683,50.0,90.0
684,50.0,90.0
685,50.0,90.0
686,50.0,90.0
687,50.0,90.0
688,50.0,90.0
689,50.0,90.0
690,60.0,100.0
691,60.0,100.0
692,60.0,100.0
693,60.0,100.0
694,50.0,100.0
695,50.0,100.0
696,40.0,120.0
697,40.0,120.0
698,40.0,120.0
699,40.0,120.0
700,40.0,120.0
701,40.0,120.0
702,50.0,100.0
703,52.5,100.0
704,55.0,100.0
705,57.5,100.0
706,60.0,100.0
707,50.0,90.0
708,50.0,90.0
709,50.0,90.0
710,50.0,90.0
711,50.0,90.0
712,50.0,90.0
713,50.0,90.0
714,60.0,100.0
715,60.0,100.0
716,60.0,100.0
717,60.0,100.0
718,50.0,100.0
719,50.0,100.0
720,40.0,120.0
721,40.0,120.0
722,40.0,120.0
723,40.0,120.0
724,40.0,120.0
725,40.0,120.0
726,50.0,100.0
727,52.5,100.0
728,55.0,100.0
729,57.5,100.0
730,60.0,100.0
731,50.0,90.0
732,50.0,90.0
733,50.0,90.0
734,50.0,90.0
735,50.0,90.0
736,50.0,90.0
737,50.0,90.0
738,60.0,100.0
739,60.0,100.0
740,60.0,100.0
741,60.0,100.0
742,50.0,100.0
743,50.0,100.0
744,40.0,120.0
745,40.0,120.0
746,40.0,120.0
747,40.0,120.0
748,40.0,120.0
749,40.0,120.0
750,50.0,100.0
751,52.5,100.0
752,55.0,100.0
753,57.5,100.0
754,60.0,100.0
755,50.0,90.0
756,50.0,90.0
757,50.0,90.0
758,50.0,90.0
759,50.0,90.0
760,50.0,90.0
761,50.0,90.0
762,60.0,100.0
763,60.0,100.0
764,60.0,100.0
765,60.0,100.0
766,50.0,100.0
767,50.0,100.0
768,40.0,120.0
769,40.0,120.0
770,40.0,120.0
771,40.0,120.0
772,40.0,120.0
773,40.0,120.0
774,50.0,100.0
775,52.5,100.0
776,55.0,100.0
777,57.5,100.0
778,60.0,100.0
779,50.0,90.0
780,50.0,90.0
781,50.0,90.0
782,50.0,90.0
783,50.0,90.0
784,50.0,90.0
785,50.0,90.0
786,60.0,100.0
787,60.0,100.0
788,60.0,100.0
789,60.0,100.0
790,50.0,100.0
791,50.0,100.0
792,40.0,120.0
793,40.0,120.0
794,40.0,120.0
795,40.0,120.0
796,40.0,120.0
797,40.0,120.0
798,50.0,100.0
799,52.5,100.0
800,55.0,100.0
801,57.5,100.0
802,60.0,100.0
803,50.0,90.0
804,50.0,90.0
805,50.0,90.0
806,50.0,90.0
807,50.0,90.0
808,50.0,90.0
809,50.0,90.0
810,60.0,100.0
811,60.0,100.0
812,60.0,100.0
813,60.0,100.0
814,50.0,100.0
815,50.0,100.0
816,40.0,120.0
817,40.0,120.0
818,40.0,120.0
819,40.0,120.0
820,40.0,120.0
821,40.0,120.0
822,50.0,100.0
823,52.5,100.0
824,55.0,100.0
825,57.5,100.0
826,60.0,100.0
827,50.0,90.0
828,50.0,90.0
829,50.0,90.0
830,50.0,90.0
831,50.0,90.0
832,50.0,90.0
833,50.0,90.0
834,60.0,100.0
835,60.0,100.0
836,60.0,100.0
837,60.0,100.0
838,50.0,100.0
839,50.0,100.0
840,40.0,120.0
841,40.0,120.0
842,40.0,120.0
843,40.0,120.0
844,40.0,120.0
845,40.0,120.0
846,50.0,100.0
847,52.5,100.0
848,55.0,100.0
849,57.5,100.0
850,60.0,100.0
851,50.0,90.0
852,50.0,90.0
853,50.0,90.0
854,50.0,90.0
855,50.0,90.0
856,50.0,90.0
857,50.0,90.0
858,60.0,100.0
859,60.0,100.0
860,60.0,100.0
861,60.0,100.0
862,50.0,100.0
863,50.0,100.0
864,40.0,120.0
865,40.0,120.0
866,40.0,120.0
867,40.0,120.0
868,40.0,120.0
869,40.0,120.0
870,50.0,100.0
871,52.5,100.0
872,55.0,100.0
873,57.5,100.0
874,60.0,100.0
875,50.0,90.0
876,50.0,90.0
877,50.0,90.0
878,50.0,90.0
879,50.0,90.0
880,50.0,90.0
881,50.0,90.0
882,60.0,100.0
883,60.0,100.0
884,60.0,100.0
885,60.0,100.0
886,50.0,100.0
887,50.0,100.0
888,40.0,120.0
889,40.0,120.0
890,40.0,120.0
891,40.0,120.0
892,40.0,120.0
893,40.0,120.0
894,50.0,100.0
895,52.5,100.0
896,55.0,100.0
897,57.5,100.0
898,60.0,100.0
899,50.0,90.0
900,50.0,90.0
901,50.0,90.0
902,50.0,90.0
903,50.0,90.0
904,50.0,90.0
905,50.0,90.0
906,60.0,100.0
907,60.0,100.0
908,60.0,100.0
909,60.0,100.0
910,50.0,100.0
911,50.0,100.0
912,40.0,120.0
913,40.0,120.0
914,40.0,120.0
915,40.0,120.0
916,40.0,120.0
917,40.0,120.0
918,50.0,100.0
919,52.5,100.0
920,55.0,100.0
921,57.5,100.0
922,60.0,100.0
923,50.0,90.0
924,50.0,90.0
925,50.0,90.0
926,50.0,90.0
927,50.0,90.0
928,50.0,90.0
929,50.0,90.0
930,60.0,100.0
931,60.0,100.0
932,60.0,100.0
933,60.0,100.0
934,50.0,100.0
935,50.0,100.0
936,40.0,120.0
937,40.0,120.0
938,40.0,120.0
939,40.0,120.0
940,40.0,120.0
941,40.0,120.0
942,50.0,100.0
943,52.5,100.0
944,55.0,100.0
945,57.5,100.0
946,60.0,100.0
947,50.0,90.0
948,50.0,90.0
949,50.0,90.0
950,50.0,90.0
951,50.0,90.0
952,50.0,90.0
953,50.0,90.0
954,60.0,100.0
955,60.0,100.0
956,60.0,100.0
957,60.0,100.0
958,50.0,100.0
959,50.0,100.0
960,40.0,120.0
961,40.0,120.0
962,40.0,120.0
963,40.0,120.0
964,40.0,120.0
965,40.0,120.0
966,50.0,100.0
967,52.5,100.0
968,55.0,100.0
969,57.5,100.0
970,60.0,100.0
971,50.0,90.0
972,50.0,90.0
973,50.0,90.0
974,50.0,90.0
975,50.0,90.0
976,50.0,90.0
977,50.0,90.0
978,60.0,100.0
979,60.0,100.0
980,60.0,100.0
981,60.0,100.0
982,50.0,100.0
983,50.0,100.0
984,40.0,120.0
985,40.0,120.0
986,40.0,120.0
987,40.0,120.0
988,40.0,120.0
989,40.0,120.0
990,50.0,100.0
991,52.5,100.0
992,55.0,100.0
993,57.5,100.0
994,60.0,100.0
995,50.0,90.0
996,50.0,90.0
997,50.0,90.0
998,50.0,90.0
999,50.0,90.0
1000,50.0,90.0
1001,50.0,90.0
1002,60.0,100.0
1003,60.0,100.0
1004,60.0,100.0
1005,60.0,100.0
1006,50.0,100.0
1007,50.0,100.0
1008,40.0,120.0
1009,40.0,120.0
1010,40.0,120.0
1011,40.0,120.0
1012,40.0,120.0
1013,40.0,120.0
1014,50.0,100.0
1015,52.5,100.0
1016,55.0,100.0
1017,57.5,100.0
1018,60.0,100.0
1019,50.0,90.0
1020,50.0,90.0
1021,50.0,90.0
1022,50.0,90.0
1023,50.0,90.0
1024,50.0,90.0
1025,50.0,90.0
1026,60.0,100.0
1027,60.0,100.0
1028,60.0,100.0
1029,60.0,100.0
1030,50.0,100.0
1031,50.0,100.0
1032,40.0,120.0
1033,40.0,120.0
1034,40.0,120.0
1035,40.0,120.0
1036,40.0,120.0
1037,40.0,120.0
1038,50.0,100.0
1039,52.5,100.0
1040,55.0,100.0
1041,57.5,100.0
1042,60.0,100.0
1043,50.0,90.0
1044,50.0,90.0
1045,50.0,90.0
1046,50.0,90.0
1047,50.0,90.0
1048,50.0,90.0
1049,50.0,90.0
1050,60.0,100.0
1051,60.0,100.0
1052,60.0,100.0
1053,60.0,100.0
1054,50.0,100.0
1055,50.0,100.0
1056,40.0,120.0
1057,40.0,120.0
1058,40.0,120.0
1059,40.0,120.0
1060,40.0,120.0
1061,40.0,120.0
1062,50.0,100.0
1063,52.5,100.0
1064,55.0,100.0
1065,57.5,100.0
1066,60.0,100.0
1067,50.0,90.0
1068,50.0,90.0
1069,50.0,90.0
1070,50.0,90.0
1071,50.0,90.0
1072,50.0,90.0
1073,50.0,90.0
1074,60.0,100.0
1075,60.0,100.0
1076,60.0,100.0
1077,60.0,100.0
1078,50.0,100.0
1079,50.0,100.0
1080,40.0,120.0
1081,40.0,120.0
1082,40.0,120.0
1083,40.0,120.0
1084,40.0,120.0
1085,40.0,120.0
1086,50.0,100.0
1087,52.5,100.0
1088,55.0,100.0
1089,57.5,100.0
1090,60.0,100.0
1091,50.0,90.0
1092,50.0,90.0
1093,50.0,90.0
1094,50.0,90.0
1095,50.0,90.0
1096,50.0,90.0
1097,50.0,90.0
1098,60.0,100.0
1099,60.0,100.0
1100,60.0,100.0
1101,60.0,100.0
1102,50.0,100.0
1103,50.0,100.0
1104,40.0,120.0
1105,40.0,120.0
1106,40.0,120.0
1107,40.0,120.0
1108,40.0,120.0
1109,40.0,120.0
1110,50.0,100.0
1111,52.5,100.0
1112,55.0,100.0
1113,57.5,100.0
1114,60.0,100.0
1115,50.0,90.0
1116,50.0,90.0
1117,50.0,90.0
1118,50.0,90.0
1119,50.0,90.0
1120,50.0,90.0
1121,50.0,90.0
1122,60.0,100.0
1123,60.0,100.0
1124,60.0,100.0
1125,60.0,100.0
1126,50.0,100.0
1127,50.0,100.0
1128,40.0,120.0
1129,40.0,120.0
1130,40.0,120.0
1131,40.0,120.0
1132,40.0,120.0
1133,40.0,120.0
1134,50.0,100.0
1135,52.5,100.0
1136,55.0,100.0
1137,57.5,100.0
1138,60.0,100.0
1139,50.0,90.0
1140,50.0,90.0
1141,50.0,90.0
1142,50.0,90.0
1143,50.0,90.0
1144,50.0,90.0
1145,50.0,90.0
1146,60.0,100.0
1147,60.0,100.0
1148,60.0,100.0
1149,60.0,100.0
1150,50.0,100.0
1151,50.0,100.0
1152,40.0,120.0
1153,40.0,120.0
1154,40.0,120.0
1155,40.0,120.0
1156,40.0,120.0
1157,40.0,120.0
1158,50.0,100.0
1159,52.5,100.0
1160,55.0,100.0
1161,57.5,100.0
1162,60.0,100.0
1163,50.0,90.0
1164,50.0,90.0
1165,50.0,90.0
1166,50.0,90.0
1167,50.0,90.0
1168,50.0,90.0
1169,50.0,90.0
1170,60.0,100.0
1171,60.0,100.0
1172,60.0,100.0
1173,60.0,100.0
1174,50.0,100.0
1175,50.0,100.0
1176,40.0,120.0
1177,40.0,120.0
1178,40.0,120.0
1179,40.0,120.0
1180,40.0,120.0
1181,40.0,120.0
1182,50.0,100.0
1183,52.5,100.0
1184,55.0,100.0
1185,57.5,100.0
1186,60.0,100.0
1187,50.0,90.0
1188,50.0,90.0
1189,50.0,90.0
1190,50.0,90.0
1191,50.0,90.0
1192,50.0,90.0
1193,50.0,90.0
1194,60.0,100.0
1195,60.0,100.0
1196,60.0,100.0
1197,60.0,100.0
1198,50.0,100.0
1199,50.0,100.0
1200,40.0,120.0
1201,40.0,120.0
1202,40.0,120.0
1203,40.0,120.0
1204,40.0,120.0
1205,40.0,120.0
1206,50.0,100.0
1207,52.5,100.0
1208,55.0,100.0
1209,57.5,100.0
1210,60.0,100.0
1211,50.0,90.0
1212,50.0,90.0
1213,50.0,90.0
1214,50.0,90.0
1215,50.0,90.0
1216,50.0,90.0
1217,50.0,90.0
1218,60.0,100.0
1219,60.0,100.0
1220,60.0,100.0
1221,60.0,100.0
1222,50.0,100.0
1223,50.0,100.0
1224,40.0,120.0
1225,40.0,120.0
1226,40.0,120.0
1227,40.0,120.0
1228,40.0,120.0
1229,40.0,120.0
1230,50.0,100.0
1231,52.5,100.0
1232,55.0,100.0
1233,57.5,100.0
1234,60.0,100.0
1235,50.0,90.0
1236,50.0,90.0
1237,50.0,90.0
1238,50.0,90.0
1239,50.0,90.0
1240,50.0,90.0
1241,50.0,90.0
1242,60.0,100.0
1243,60.0,100.0
1244,60.0,100.0
1245,60.0,100.0
1246,50.0,100.0
1247,50.0,100.0
1248,40.0,120.0
1249,40.0,120.0
1250,40.0,120.0
1251,40.0,120.0
1252,40.0,120.0
1253,40.0,120.0
1254,50.0,100.0
1255,52.5,100.0
1256,55.0,100.0
1257,57.5,100.0
1258,60.0,100.0
1259,50.0,90.0
1260,50.0,90.0
1261,50.0,90.0
1262,50.0,90.0
1263,50.0,90.0
1264,50.0,90.0
1265,50.0,90.0
1266,60.0,100.0
1267,60.0,100.0
1268,60.0,100.0
1269,60.0,100.0
1270,50.0,100.0
1271,50.0,100.0
1272,40.0,120.0
1273,40.0,120.0
1274,40.0,120.0
1275,40.0,120.0
1276,40.0,120.0
1277,40.0,120.0
1278,50.0,100.0
1279,52.5,100.0
1280,55.0,100.0
1281,57.5,100.0
1282,60.0,100.0
1283,50.0,90.0
1284,50.0,90.0
1285,50.0,90.0
1286,50.0,90.0
1287,50.0,90.0
1288,50.0,90.0
1289,50.0,90.0
1290,60.0,100.0
1291,60.0,100.0
1292,60.0,100.0
1293,60.0,100.0
1294,50.0,100.0
1295,50.0,100.0
1296,40.0,120.0
1297,40.0,120.0
1298,40.0,120.0
1299,40.0,120.0
1300,40.0,120.0
1301,40.0,120.0
1302,50.0,100.0
1303,52.5,100.0
1304,55.0,100.0
1305,57.5,100.0
1306,60.0,100.0
1307,50.0,90.0
1308,50.0,90.0
1309,50.0,90.0
1310,50.0,90.0
1311,50.0,90.0
1312,50.0,90.0
1313,50.0,90.0
1314,60.0,100.0
1315,60.0,100.0
1316,60.0,100.0
1317,60.0,100.0
1318,50.0,100.0
1319,50.0,100.0
1320,40.0,120.0
1321,40.0,120.0
1322,40.0,120.0
1323,40.0,120.0
1324,40.0,120.0
1325,40.0,120.0
1326,50.0,100.0
1327,52.5,100.0
1328,55.0,100.0
1329,57.5,100.0
1330,60.0,100.0
1331,50.0,90.0
1332,50.0,90.0
1333,50.0,90.0
1334,50.0,90.0
1335,50.0,90.0
1336,50.0,90.0
1337,50.0,90.0
1338,60.0,100.0
1339,60.0,100.0
1340,60.0,100.0
1341,60.0,100.0
1342,50.0,100.0
1343,50.0,100.0
1344,40.0,120.0
1345,40.0,120.0
1346,40.0,120.0
1347,40.0,120.0
1348,40.0,120.0
1349,40.0,120.0
1350,50.0,100.0
1351,52.5,100.0
1352,55.0,100.0
1353,57.5,100.0
1354,60.0,100.0
1355,50.0,90.0
1356,50.0,90.0
1357,50.0,90.0
1358,50.0,90.0
1359,50.0,90.0
